x,y,z,phi1,PHI,phi2,phase,grain_id_true
0.0,0.0,0.0,280.0776572600929,167.88613444523628,319.98679274164607,1,5
0.0,0.0,1.0,280.9462804438285,172.3097300082444,325.0282668614669,1,5
0.0,0.0,2.0,276.4952555952468,168.16931029964462,323.14541574224677,1,5
0.0,0.0,3.0,281.96820362476404,167.67535578080629,321.58205833165744,1,5
0.0,0.0,4.0,275.77105245074483,165.56686196049884,324.5444005821715,1,5
0.0,0.0,5.0,283.04587734640137,168.8975307933788,325.09616149116016,1,5
0.0,0.0,6.0,280.1155913799714,167.20501383374787,323.20491125557965,1,5
0.0,0.0,7.0,283.6245768797939,169.0032013532672,326.7937817730238,1,5
0.0,0.0,8.0,271.14685484854186,171.58860792808923,322.40037380945483,1,5
0.0,0.0,9.0,278.1294657351925,169.39163723903576,316.03336326713276,1,5
0.0,1.0,0.0,278.3690001125578,170.21333636408085,326.70474168774723,1,5
0.0,1.0,1.0,277.48795210367524,166.6764450539262,320.62768239161693,1,5
0.0,1.0,2.0,281.7404367827552,170.0768183165972,320.5795767445293,1,5
0.0,1.0,3.0,280.53016603986407,169.3901757391036,324.9353556987834,1,5
0.0,1.0,4.0,277.0453057844593,168.17519793169802,321.01941116683287,1,5
0.0,1.0,5.0,274.89637148847623,169.94979203311547,322.87836239214556,1,5
0.0,1.0,6.0,279.0623487170615,168.4431191206183,318.11540034757394,1,5
0.0,1.0,7.0,277.84139931894384,168.12689911095185,319.8369029198938,1,5
0.0,1.0,8.0,278.5779939915867,170.28680246345056,327.63227224125166,1,5
0.0,1.0,9.0,279.5670558782284,169.87583080895723,321.9164247883913,1,5
0.0,2.0,0.0,273.26730360550835,169.029933467515,322.3192963951316,1,5
0.0,2.0,1.0,286.2540712929247,168.54705434891332,323.0200278108479,1,5
0.0,2.0,2.0,278.94887084942934,165.77850414787977,325.39545142665395,1,5
0.0,2.0,3.0,281.1464431873578,171.31756037644067,319.5997679200381,1,5
0.0,2.0,4.0,282.9064419402235,165.25377851657964,323.7520969012486,1,5
0.0,2.0,5.0,285.0337903234651,166.40291848923908,320.59029440411956,1,5
0.0,2.0,6.0,279.32074675002696,167.73086418209192,317.89080852296826,1,5
0.0,2.0,7.0,279.2376259155115,166.1689315051459,323.4489378229861,1,5
0.0,2.0,8.0,276.45609482714013,173.47884642873703,319.9299704127986,1,5
0.0,2.0,9.0,278.11813501821695,171.4581553124845,318.584762059084,1,5
0.0,3.0,0.0,279.71827440236734,172.96272673617898,317.3996491432061,1,5
0.0,3.0,1.0,279.574740168999,169.8514850330091,324.3690785494747,1,5
0.0,3.0,2.0,275.61907837912986,165.4495991210428,323.5846304762269,1,5
0.0,3.0,3.0,279.8514033608367,169.78759794660883,323.0752725108804,1,5
0.0,3.0,4.0,277.2387211016134,169.72768271550706,322.91751786240496,1,5
0.0,3.0,5.0,277.1620036636884,174.03525830978415,323.3887153190865,1,5
0.0,3.0,6.0,275.89459062554414,170.84762169522068,319.55799023863455,1,5
0.0,3.0,7.0,281.15753418012105,172.21533291549227,319.9380723781521,1,5
0.0,3.0,8.0,281.68450482662166,170.23956000745613,324.3877633314975,1,5
0.0,3.0,9.0,284.3808469984257,168.41987529229522,320.01863859842166,1,5
0.0,4.0,0.0,276.4701958266114,166.7457675811283,321.9144220625828,1,5
0.0,4.0,1.0,280.0024471805799,169.88406134135468,324.4525171531804,1,5
0.0,4.0,2.0,279.08305031815354,173.04875057195423,321.42065094561354,1,5
0.0,4.0,3.0,286.2219840789016,170.75994305153708,319.87718086007226,1,5
0.0,4.0,4.0,276.27780887281045,170.35778930131184,321.55982959229596,1,5
0.0,4.0,5.0,280.87817427805675,170.32296579834275,321.9511474409885,1,5
0.0,4.0,6.0,276.87034320974794,165.21448153585814,320.98966292952423,1,5
0.0,4.0,7.0,281.28229132639,169.66841267458236,318.88752390705736,1,5
0.0,4.0,8.0,279.5105003164601,170.13925397495407,319.77646247775334,1,5
0.0,4.0,9.0,279.4709998142783,169.27004982407368,318.99141110257773,1,5
0.0,5.0,0.0,280.0731750459205,170.71692398789608,325.2416895771864,1,5
0.0,5.0,1.0,281.95856950040104,165.3044882045772,319.5474382799928,1,5
0.0,5.0,2.0,280.4224670374382,170.48112563164523,323.5125299284799,1,5
0.0,5.0,3.0,289.0323440646458,170.58929802250643,325.0807157947654,1,5
0.0,5.0,4.0,281.4676043692863,170.76203777610334,321.33817811212504,1,5
0.0,5.0,5.0,280.9536542066378,167.1691780774212,321.5431740124686,1,5
0.0,5.0,6.0,277.82480040265744,169.3161154217196,327.97030821510094,1,5
0.0,5.0,7.0,274.26575768867787,170.86731909588067,318.00768723092733,1,5
0.0,5.0,8.0,277.80742202252424,171.97193494209822,322.3067954890013,1,5
0.0,5.0,9.0,276.1223272035793,167.1681500798038,323.9825833495603,1,5
0.0,6.0,0.0,276.9635401947068,169.72752594102752,322.26789632036855,1,5
0.0,6.0,1.0,277.25697258026656,175.00217749174902,323.8800950245089,1,5
0.0,6.0,2.0,273.67447229212434,169.60453178018122,320.38191724742524,1,5
0.0,6.0,3.0,281.2417237157697,167.07009919918204,321.84254902408213,1,5
0.0,6.0,4.0,280.31872604804397,171.2886695563618,319.1170408075,1,5
0.0,6.0,5.0,278.21480067579864,167.92704279882958,320.51084609525367,1,5
0.0,6.0,6.0,283.4603761951346,170.1220169750863,318.98640461348475,1,5
0.0,6.0,7.0,281.38115528590816,174.50463990362925,324.7625233597116,1,5
