x,y,z,phi1,PHI,phi2,phase,grain_id_true
0.0,0.0,0.0,305.09609480105627,117.5114954503027,206.91185134955577,1,17
0.0,0.0,1.0,356.94209380336116,23.587706449692956,187.78335444189182,1,31
0.0,0.0,2.0,359.0785064478768,26.508830270401653,184.69486226023378,1,31
0.0,0.0,3.0,355.82933481555443,26.758885384664538,185.73636206391862,1,31
0.0,0.0,4.0,356.9470552756573,26.13610667179101,185.49662148258975,1,31
0.0,0.0,5.0,356.349927820537,21.432992484997655,185.4033499711112,1,31
0.0,0.0,6.0,356.1275222217802,23.773203962578503,188.4850638885904,1,31
0.0,0.0,7.0,354.7641225132872,24.70580974799862,186.74999563087354,1,31
0.0,0.0,8.0,358.1084637028064,23.532386575627463,187.9618263987627,1,31
0.0,0.0,9.0,356.43162839504714,24.04089151453667,187.15151392117176,1,31
0.0,1.0,0.0,305.98094684156206,117.58478771962695,204.6824505697709,1,17
0.0,1.0,1.0,355.9233065459585,25.361272858677108,187.45114787823707,1,31
0.0,1.0,2.0,358.4008215505196,23.6687005590697,189.26350667107548,1,31
0.0,1.0,3.0,354.0491304815349,25.030822904772943,187.31301881011626,1,31
0.0,1.0,4.0,356.752059757167,24.477892277003487,186.35227340266604,1,31
0.0,1.0,5.0,355.84692151915226,24.53076215009556,187.58521873168758,1,31
0.0,1.0,6.0,356.8297652079575,24.41864282486884,187.63273938065262,1,31
0.0,1.0,7.0,356.7732025858516,26.151030707301064,187.32361286235073,1,31
0.0,1.0,8.0,355.4524270300893,24.5617145851282,187.4703354437835,1,31
0.0,1.0,9.0,357.14667037317963,25.19021752890154,186.73847584200772,1,31
0.0,2.0,0.0,307.3938151336148,117.595525841707,205.3076433334922,1,17
0.0,2.0,1.0,305.45951718008104,118.08942349843879,206.00896536697235,1,17
0.0,2.0,2.0,357.45443871133057,26.235244678532418,188.23571454804537,1,31
0.0,2.0,3.0,356.4450027996415,26.04684806878318,186.22026647059982,1,31
0.0,2.0,4.0,356.8052077275123,25.0602269219886,186.71411911851715,1,31
0.0,2.0,5.0,357.11470975236136,24.25919309594674,189.0432170998037,1,31
0.0,2.0,6.0,355.25530045494247,23.810157495764262,187.93875127077317,1,31
0.0,2.0,7.0,357.33687017836826,25.938435889059484,187.326885292223,1,31
0.0,2.0,8.0,356.4050165606159,24.162349400354376,186.68761843330188,1,31
0.0,2.0,9.0,355.60843438982255,26.382901341228408,186.4225626700437,1,31
0.0,3.0,0.0,134.1334847741826,16.497689352088464,208.71927827524496,1,38
0.0,3.0,1.0,134.4902340523137,15.867134507091933,208.49193240054592,1,38
0.0,3.0,2.0,135.51719668622079,16.280741004034976,207.58988864679384,1,38
0.0,3.0,3.0,356.7057527365658,23.428080102032723,184.86176097945912,1,31
0.0,3.0,4.0,355.55242867448123,24.957552879354047,186.97385164999352,1,31
0.0,3.0,5.0,358.1702912451404,26.232965541056167,186.40886495839686,1,31
0.0,3.0,6.0,356.3970085371371,24.03538694190069,186.57688934512032,1,31
0.0,3.0,7.0,356.07923919282644,25.595404796277847,185.6238902529611,1,31
0.0,3.0,8.0,357.0380877336677,27.04108698648418,186.46910800785156,1,31
0.0,3.0,9.0,356.9068724082767,26.052628275275023,186.1117846235826,1,31
0.0,4.0,0.0,135.49666504502704,16.932865405563295,208.30586035035213,1,38
0.0,4.0,1.0,134.24370721531486,16.947383512502288,208.803280015261,1,38
0.0,4.0,2.0,136.98795999957002,18.09215084495647,210.81916122872605,1,38
0.0,4.0,3.0,134.28282914395677,17.970601114584074,208.4023465262213,1,38
0.0,4.0,4.0,137.8379527697496,15.946670785519894,207.17305942221458,1,38
0.0,4.0,5.0,134.48906775504608,14.36267406698403,207.54860794344864,1,38
0.0,4.0,6.0,355.50465764760156,25.39634201178319,187.01047888639917,1,31
0.0,4.0,7.0,358.6827164455756,26.361672474896338,185.9027235233378,1,31
0.0,4.0,8.0,355.32544359703314,25.81410145047958,184.99111079107533,1,31
0.0,4.0,9.0,358.6856335198088,26.674562209031933,186.01811679517564,1,31
0.0,5.0,0.0,133.04847304073684,18.62487310370075,208.03634064480661,1,38
0.0,5.0,1.0,136.73153268596684,14.956690727707313,207.44402832069449,1,38
0.0,5.0,2.0,135.21616736900026,16.973233208590944,207.6397440417449,1,38
0.0,5.0,3.0,135.9466481699686,15.653833480677317,208.0124264003812,1,38
0.0,5.0,4.0,135.35106898876617,17.520610414826006,209.01616220228618,1,38
0.0,5.0,5.0,133.88663611107077,15.11174733120263,209.68413458106644,1,38
0.0,5.0,6.0,135.60553790393294,16.025551795046855,210.02775448143746,1,38
0.0,5.0,7.0,135.3502763869975,18.348257223404417,208.26280910729565,1,38
0.0,5.0,8.0,137.77257908946,19.099665505858304,207.87124256557,1,38
0.0,5.0,9.0,357.65045235146675,26.032871143322335,188.33285206672892,1,31
0.0,6.0,0.0,134.00307068571877,17.774767064908122,209.50458112236572,1,38
0.0,6.0,1.0,133.07002941676825,15.477095223810679,205.6997457226144,1,38
0.0,6.0,2.0,134.88984986344477,17.769076888866074,209.965415426075,1,38
0.0,6.0,3.0,135.29631800001604,18.817045481473187,206.57052491114794,1,38
0.0,6.0,4.0,133.23941714799756,16.852492473862068,208.62513158142426,1,38
